============================================================
Seed 41
============================================================
Epoch   1/50 | LR 0.000999 | Train 59.77% | Val 64.80% ✅
Epoch   2/50 | LR 0.000996 | Train 64.31% | Val 60.00%
Epoch   3/50 | LR 0.000991 | Train 66.63% | Val 64.93% ✅
Epoch   4/50 | LR 0.000984 | Train 68.36% | Val 67.47% ✅
Epoch   5/50 | LR 0.000976 | Train 68.09% | Val 70.53% ✅
Epoch   6/50 | LR 0.000965 | Train 70.19% | Val 69.87%
Epoch   7/50 | LR 0.000952 | Train 70.33% | Val 68.13%
Epoch   8/50 | LR 0.000938 | Train 71.33% | Val 73.27% ✅
Epoch   9/50 | LR 0.000922 | Train 71.57% | Val 72.47%
Epoch  10/50 | LR 0.000905 | Train 71.97% | Val 70.00%
Epoch  11/50 | LR 0.000885 | Train 73.24% | Val 70.60%
Epoch  12/50 | LR 0.000864 | Train 73.66% | Val 73.20%
Epoch  13/50 | LR 0.000842 | Train 72.99% | Val 75.20% ✅
Epoch  14/50 | LR 0.000819 | Train 74.19% | Val 75.87% ✅
Epoch  15/50 | LR 0.000794 | Train 75.46% | Val 76.80% ✅
Epoch  16/50 | LR 0.000768 | Train 75.29% | Val 74.00%
Epoch  17/50 | LR 0.000741 | Train 75.74% | Val 73.73%
Epoch  18/50 | LR 0.000713 | Train 76.41% | Val 76.87% ✅
Epoch  19/50 | LR 0.000684 | Train 76.20% | Val 74.87%
Epoch  20/50 | LR 0.000655 | Train 76.01% | Val 75.07%
Epoch  21/50 | LR 0.000624 | Train 77.16% | Val 74.60%
Epoch  22/50 | LR 0.000594 | Train 76.84% | Val 75.93%
Epoch  23/50 | LR 0.000563 | Train 77.84% | Val 77.60% ✅
Epoch  24/50 | LR 0.000531 | Train 78.27% | Val 77.67% ✅
Epoch  25/50 | LR 0.000500 | Train 77.64% | Val 78.00% ✅
Epoch  26/50 | LR 0.000469 | Train 78.17% | Val 78.53% ✅
Epoch  27/50 | LR 0.000437 | Train 79.04% | Val 77.80%
Epoch  28/50 | LR 0.000406 | Train 79.71% | Val 78.33%
Epoch  29/50 | LR 0.000376 | Train 79.73% | Val 78.07%
Epoch  30/50 | LR 0.000345 | Train 79.76% | Val 77.40%
Epoch  31/50 | LR 0.000316 | Train 80.77% | Val 79.87% ✅
Epoch  32/50 | LR 0.000287 | Train 80.57% | Val 78.07%
Epoch  33/50 | LR 0.000259 | Train 80.70% | Val 79.07%
Epoch  34/50 | LR 0.000232 | Train 80.47% | Val 78.87%
Epoch  35/50 | LR 0.000206 | Train 81.43% | Val 78.47%
Epoch  36/50 | LR 0.000181 | Train 82.07% | Val 78.80%
Epoch  37/50 | LR 0.000158 | Train 82.50% | Val 80.00% ✅
Epoch  38/50 | LR 0.000136 | Train 82.51% | Val 79.33%
Epoch  39/50 | LR 0.000115 | Train 82.87% | Val 79.87%
Epoch  40/50 | LR 0.000095 | Train 83.53% | Val 79.33%
Epoch  41/50 | LR 0.000078 | Train 83.43% | Val 79.53%
Epoch  42/50 | LR 0.000062 | Train 84.11% | Val 79.73%
Epoch  43/50 | LR 0.000048 | Train 83.90% | Val 80.27% ✅
Epoch  44/50 | LR 0.000035 | Train 84.54% | Val 80.20%
Epoch  45/50 | LR 0.000024 | Train 84.70% | Val 80.07%
Epoch  46/50 | LR 0.000016 | Train 85.17% | Val 79.60%
Epoch  47/50 | LR 0.000009 | Train 85.33% | Val 79.93%
Epoch  48/50 | LR 0.000004 | Train 85.37% | Val 79.93%
Epoch  49/50 | LR 0.000001 | Train 85.57% | Val 79.80%
Epoch  50/50 | LR 0.000000 | Train 85.31% | Val 80.07%

✅ Best val acc: 80.27% @ epoch 43  (12.1 min)
   Saved: /content/drive/My Drive/stm32-thesis/checkpoints/vggstyle_seed_41.pth

============================================================
Seed 52
============================================================
Epoch   1/50 | LR 0.000999 | Train 61.19% | Val 63.00% ✅
Epoch   2/50 | LR 0.000996 | Train 65.41% | Val 66.13% ✅
Epoch   3/50 | LR 0.000991 | Train 67.16% | Val 67.33% ✅
Epoch   4/50 | LR 0.000984 | Train 67.70% | Val 65.27%
Epoch   5/50 | LR 0.000976 | Train 68.70% | Val 67.67% ✅
Epoch   6/50 | LR 0.000965 | Train 69.00% | Val 70.00% ✅
Epoch   7/50 | LR 0.000952 | Train 71.01% | Val 72.47% ✅
Epoch   8/50 | LR 0.000938 | Train 70.66% | Val 71.13%
Epoch   9/50 | LR 0.000922 | Train 71.99% | Val 73.93% ✅
Epoch  10/50 | LR 0.000905 | Train 72.09% | Val 73.33%
Epoch  11/50 | LR 0.000885 | Train 72.80% | Val 73.07%
Epoch  12/50 | LR 0.000864 | Train 72.20% | Val 73.33%
Epoch  13/50 | LR 0.000842 | Train 72.94% | Val 71.47%
Epoch  14/50 | LR 0.000819 | Train 73.79% | Val 74.33% ✅
Epoch  15/50 | LR 0.000794 | Train 74.79% | Val 68.80%
Epoch  16/50 | LR 0.000768 | Train 74.61% | Val 73.80%
Epoch  17/50 | LR 0.000741 | Train 75.37% | Val 74.60% ✅
Epoch  18/50 | LR 0.000713 | Train 76.34% | Val 70.60%
Epoch  19/50 | LR 0.000684 | Train 75.64% | Val 75.87% ✅
Epoch  20/50 | LR 0.000655 | Train 76.33% | Val 75.27%
Epoch  21/50 | LR 0.000624 | Train 77.74% | Val 73.67%
Epoch  22/50 | LR 0.000594 | Train 76.70% | Val 76.07% ✅
Epoch  23/50 | LR 0.000563 | Train 77.56% | Val 76.00%
Epoch  24/50 | LR 0.000531 | Train 77.86% | Val 75.13%
Epoch  25/50 | LR 0.000500 | Train 78.39% | Val 76.20% ✅
Epoch  26/50 | LR 0.000469 | Train 78.60% | Val 77.27% ✅
Epoch  27/50 | LR 0.000437 | Train 79.13% | Val 75.67%
Epoch  28/50 | LR 0.000406 | Train 79.47% | Val 75.40%
Epoch  29/50 | LR 0.000376 | Train 80.27% | Val 77.07%
Epoch  30/50 | LR 0.000345 | Train 80.36% | Val 75.07%
Epoch  31/50 | LR 0.000316 | Train 80.36% | Val 76.60%
Epoch  32/50 | LR 0.000287 | Train 81.39% | Val 77.27%
Epoch  33/50 | LR 0.000259 | Train 81.06% | Val 78.33% ✅
Epoch  34/50 | LR 0.000232 | Train 82.17% | Val 78.20%
Epoch  35/50 | LR 0.000206 | Train 82.16% | Val 78.13%
Epoch  36/50 | LR 0.000181 | Train 82.36% | Val 77.60%
Epoch  37/50 | LR 0.000158 | Train 82.70% | Val 78.27%
Epoch  38/50 | LR 0.000136 | Train 83.74% | Val 78.27%
Epoch  39/50 | LR 0.000115 | Train 83.06% | Val 79.20% ✅
Epoch  40/50 | LR 0.000095 | Train 83.49% | Val 78.07%
Epoch  41/50 | LR 0.000078 | Train 84.49% | Val 78.33%
Epoch  42/50 | LR 0.000062 | Train 83.91% | Val 78.73%
Epoch  43/50 | LR 0.000048 | Train 84.61% | Val 78.60%
Epoch  44/50 | LR 0.000035 | Train 84.89% | Val 79.67% ✅
Epoch  45/50 | LR 0.000024 | Train 84.59% | Val 79.27%
Epoch  46/50 | LR 0.000016 | Train 85.39% | Val 78.87%
Epoch  47/50 | LR 0.000009 | Train 85.01% | Val 79.27%
Epoch  48/50 | LR 0.000004 | Train 85.53% | Val 79.60%
Epoch  49/50 | LR 0.000001 | Train 85.61% | Val 79.60%
Epoch  50/50 | LR 0.000000 | Train 85.84% | Val 79.47%

✅ Best val acc: 79.67% @ epoch 44  (11.8 min)
   Saved: /content/drive/My Drive/stm32-thesis/checkpoints/vggstyle_seed_52.pth

============================================================
Seed 63
============================================================
Epoch   1/50 | LR 0.000999 | Train 60.36% | Val 64.87% ✅
Epoch   2/50 | LR 0.000996 | Train 64.60% | Val 68.07% ✅
Epoch   3/50 | LR 0.000991 | Train 67.23% | Val 68.80% ✅
Epoch   4/50 | LR 0.000984 | Train 66.89% | Val 66.40%
Epoch   5/50 | LR 0.000976 | Train 68.17% | Val 68.60%
Epoch   6/50 | LR 0.000965 | Train 69.70% | Val 68.40%
Epoch   7/50 | LR 0.000952 | Train 69.66% | Val 71.07% ✅
Epoch   8/50 | LR 0.000938 | Train 71.44% | Val 71.07%
Epoch   9/50 | LR 0.000922 | Train 71.30% | Val 70.93%
Epoch  10/50 | LR 0.000905 | Train 71.20% | Val 72.47% ✅
Epoch  11/50 | LR 0.000885 | Train 72.51% | Val 70.07%
Epoch  12/50 | LR 0.000864 | Train 72.64% | Val 72.53% ✅
Epoch  13/50 | LR 0.000842 | Train 73.26% | Val 74.53% ✅
Epoch  14/50 | LR 0.000819 | Train 73.84% | Val 73.33%
Epoch  15/50 | LR 0.000794 | Train 74.23% | Val 71.33%
Epoch  16/50 | LR 0.000768 | Train 74.99% | Val 73.93%
Epoch  17/50 | LR 0.000741 | Train 74.61% | Val 75.33% ✅
Epoch  18/50 | LR 0.000713 | Train 75.34% | Val 73.40%
Epoch  19/50 | LR 0.000684 | Train 75.71% | Val 76.53% ✅
Epoch  20/50 | LR 0.000655 | Train 75.57% | Val 75.67%
Epoch  21/50 | LR 0.000624 | Train 76.69% | Val 76.00%
Epoch  22/50 | LR 0.000594 | Train 77.29% | Val 75.93%
Epoch  23/50 | LR 0.000563 | Train 76.39% | Val 75.20%
Epoch  24/50 | LR 0.000531 | Train 77.43% | Val 75.67%
Epoch  25/50 | LR 0.000500 | Train 77.14% | Val 75.27%
Epoch  26/50 | LR 0.000469 | Train 77.80% | Val 75.00%
Epoch  27/50 | LR 0.000437 | Train 77.91% | Val 76.67% ✅
Epoch  28/50 | LR 0.000406 | Train 78.99% | Val 77.20% ✅
Epoch  29/50 | LR 0.000376 | Train 78.46% | Val 77.20%
Epoch  30/50 | LR 0.000345 | Train 79.31% | Val 77.27% ✅
Epoch  31/50 | LR 0.000316 | Train 79.64% | Val 73.67%
Epoch  32/50 | LR 0.000287 | Train 79.89% | Val 77.93% ✅
